,Skill,Month,Total number of resources,Total attrition
2,.NET,28-02-2018,119,5
14,.NET,28-02-2019,191,5
26,.NET,29-02-2020,203,9
4,.NET,30-04-2018,165,3
16,.NET,30-04-2019,183,6
28,.NET,30-04-2020,194,4
6,.NET,30-06-2018,171,13
18,.NET,30-06-2019,188,9
30,.NET,30-06-2020,200,3
9,.NET,30-09-2018,162,13
21,.NET,30-09-2019,212,9
33,.NET,30-09-2020,196,0
11,.NET,30-11-2018,156,10
23,.NET,30-11-2019,181,5
1,.NET,31-01-2018,130,21
13,.NET,31-01-2019,177,6
25,.NET,31-01-2020,202,10
3,.NET,31-03-2018,121,4
15,.NET,31-03-2019,184,4
27,.NET,31-03-2020,198,3
5,.NET,31-05-2018,164,2
17,.NET,31-05-2019,184,9
29,.NET,31-05-2020,190,3
7,.NET,31-07-2018,165,7
19,.NET,31-07-2019,190,7
31,.NET,31-07-2020,182,5
8,.NET,31-08-2018,167,6
20,.NET,31-08-2019,180,3
32,.NET,31-08-2020,193,1
10,.NET,31-10-2018,151,1
22,.NET,31-10-2019,183,4
12,.NET,31-12-2018,162,6
24,.NET,31-12-2019,179,4
34,AGILE,31-01-2018,4,0
35,AGILE,28-02-2018,4,0
36,AGILE,31-03-2018,7,0
37,AGILE,30-04-2018,9,0
38,AGILE,31-05-2018,10,0
39,AGILE,30-06-2018,11,1
40,AGILE,31-07-2018,13,1
41,AGILE,31-08-2018,19,1
42,AGILE,30-09-2018,19,0
43,AGILE,31-10-2018,18,0
44,AGILE,30-11-2018,19,0
45,AGILE,31-12-2018,19,2
46,AGILE,31-01-2019,20,1
47,AGILE,28-02-2019,23,3
48,AGILE,31-03-2019,19,1
49,AGILE,30-04-2019,21,1
50,AGILE,31-05-2019,21,2
51,AGILE,30-06-2019,21,3
52,AGILE,31-07-2019,22,1
53,AGILE,31-08-2019,24,1
54,AGILE,30-09-2019,26,1
55,AGILE,31-10-2019,26,1
56,AGILE,30-11-2019,26,2
57,AGILE,31-12-2019,26,1
58,AGILE,31-01-2020,27,1
59,AGILE,29-02-2020,30,1
60,AGILE,31-03-2020,29,2
61,AGILE,30-04-2020,30,2
